,Food Name,Measure,Energy (kcal) per gram,Energy (kJ) per gram,Protein (g) per gram,Carbohydrate (g) per gram,Total Sugar (g) per gram,Total Dietary Fibre (g) per gram,Total Fat (g) per gram,Saturated Fat (g) per gram,Cholesterol (mg) per gram,Calcium (mg) per gram,Iron (mg) per gram,Sodium (mg) per gram,Potassium (mg) per gram,Magnesium (mg) per gram,Phosphorus (mg) per gram,Thiamin (mg) per gram,Riboflavin (mg) per gram,Niacin (NE) per gram,Folate (DFE) per gram,Vitamin A (RAE) per gram,Beta-carotene (mcg) per gram,Lycopene (mcg) per gram,Vitamin C (mg) per gram,Vitamin B12 (mcg) per gram,Total Fat ( ) per gram,Cholesterol (g) per gram,Vitamin D (mcg) per gram,Monounsaturated Fat (g) per gram,Polyunsaturated Fat (g) per gram,Vitamin E (mg) per gram,DHA (g) per gram,EPA (g) per gram,Total Daietary Fibre (g) per gram,Trans Fat (g) per gram,Caffeine (mg) per gram,Alcohol (g) per gram,Polyunsaturated Fat (mg) per gram,Category
831,Spaghetti with cream sauce,250 mL,1.1848341232227488,4.962085308056872,0.04265402843601896,0.22274881516587677,0.018957345971563982,0.00900473933649289,0.009478672985781991,0.0042654028436018955,0.023696682464454975,0.38388625592417064,0.01042654028436019,0.5260663507109005,0.6635071090047393,0.16113744075829384,0.6635071090047393,,,,0.909952606635071,0.15639810426540285,,,,0.001042654028436019,,,,,,,,,,,,,,Mixed Dishes
832,Spaghetti with meat sauce,250 mL,1.5305343511450382,6.404580152671755,0.07251908396946564,0.19083969465648856,0.03435114503816794,0.01870229007633588,0.05343511450381679,0.01717557251908397,0.21374045801526717,0.38549618320610685,0.017938931297709924,3.8473282442748094,2.904580152671756,0.22900763358778625,0.8244274809160306,,,,0.6183206106870229,0.2595419847328244,,,0.04961832061068702,0.003396946564885496,,,,,,,,,,,,,,Mixed Dishes
833,"Beef pot pie, commercial, individual",1 serving,2.8105726872246697,11.748898678414097,0.07929515418502203,0.2511013215859031,,0.00881057268722467,0.16740088105726872,0.050220264317180616,0.18061674008810572,0.19823788546255505,0.010132158590308369,5.299559471365638,1.2907488986784141,,0.4801762114537445,,,,0.3876651982378855,1.2290748898678414,,,0.0,,,,,,,,,,,,,,,Mixed Dishes
834,Beef stew,250 mL,0.6486486486486487,2.7065637065637067,0.0694980694980695,0.05405405405405406,0.011583011583011582,0.00694980694980695,0.015444015444015444,0.006177606177606178,0.15057915057915058,0.11196911196911197,0.008494208494208495,2.332046332046332,1.915057915057915,0.1274131274131274,0.7065637065637066,,,,0.10038610038610038,0.5096525096525096,,,0.03474903474903475,0.005868725868725869,,,,,,,,,,,,,,Mixed Dishes
835,Butter chicken,250 mL,1.426356589147287,5.961240310077519,0.10852713178294573,0.050387596899224806,0.015503875968992248,0.005813953488372093,0.08914728682170543,0.03837209302325582,0.4496124031007752,0.4844961240310077,0.009302325581395349,2.868217054263566,2.5930232558139537,0.20930232558139536,1.189922480620155,,,,0.05813953488372093,0.5697674418604651,,,0.04263565891472868,0.0017054263565891472,,,,,,,,,,,,,,Mixed Dishes
836,Chicken fajita,1 fajita,1.5695067264573992,6.556053811659193,0.08520179372197309,0.2242152466367713,0.013452914798206279,0.018385650224215244,0.03587443946188341,0.009417040358744395,0.14798206278026907,0.23318385650224216,0.015246636771300448,2.42152466367713,1.8161434977578474,0.18385650224215247,0.820627802690583,,,,0.6860986547085202,0.12556053811659193,,,0.11659192825112108,0.0004035874439461883,,,,,,,,,,,,,,Mixed Dishes
837,"Chicken pot pie, commercial, individual",1 serving,2.1762114537444934,9.09691629955947,0.09251101321585903,0.16299559471365638,0.013215859030837005,0.013656387665198238,0.1277533039647577,0.04185022026431718,0.27312775330396477,0.2599118942731278,0.013215859030837005,1.52863436123348,1.5374449339207048,0.14977973568281938,0.8590308370044053,,,,0.44933920704845814,0.9779735682819384,,,0.039647577092511016,0.000881057268722467,,,,,,,,,,,,,,Mixed Dishes
838,Pad Thaï,250 mL,1.286549707602339,5.380116959064328,0.08771929824561403,0.15204678362573099,0.023391812865497075,0.008771929824561403,0.03508771929824561,0.005263157894736842,0.39766081871345027,0.15204678362573099,0.005263157894736842,2.0116959064327484,1.5087719298245614,0.17543859649122806,0.32748538011695905,,,,0.14035087719298245,0.21052631578947367,,,0.029239766081871343,0.001345029239766082,,,,,,,,,,,,,,Mixed Dishes
839,Poutine,250 mL,2.303030303030303,9.618181818181819,0.07878787878787878,0.15151515151515152,0.006060606060606061,0.011515151515151515,0.15757575757575756,0.060000000000000005,0.24242424242424243,1.709090909090909,0.008484848484848484,4.575757575757576,2.3454545454545452,0.15757575757575756,1.5818181818181818,,,,0.09696969696969697,0.5878787878787879,,,0.04242424242424243,0.002303030303030303,,,,,,,,,,,,,,Mixed Dishes
840,"Samosa, vegetarian",2,3.06,12.8,0.05,0.32,0.01,0.021,0.18,0.055999999999999994,0.08,0.33,0.018000000000000002,7.95,1.78,0.17,0.7,,,,0.68,0.36,,,0.03,0.0006,,,,,,,,,,,,,,Mixed Dishes
841,Shepherd's pie,250 mL,1.5136186770428015,6.334630350194552,0.06614785992217899,0.1556420233463035,0.019455252918287938,0.012062256809338522,0.06614785992217899,0.019455252918287938,0.15953307392996108,0.20233463035019456,0.007392996108949416,2.272373540856031,2.980544747081712,0.21011673151750973,0.8287937743190662,,,,0.16342412451361868,0.3657587548638132,,,0.054474708171206226,0.004785992217898833,,,,,,,,,,,,,,Mixed Dishes
842,Stir fry with beef,250 mL,1.2663755458515285,5.296943231441048,0.09606986899563319,0.08733624454148471,0.048034934497816595,0.00960698689956332,0.0611353711790393,0.01004366812227074,0.20087336244541484,0.1965065502183406,0.011790393013100437,3.8777292576419216,2.331877729257642,0.1615720524017467,0.9213973799126638,,,,0.18777292576419213,0.13100436681222707,,,0.30131004366812225,0.007729257641921398,,,,,,,,,,,,,,Mixed Dishes
843,Stir fry with chicken,250 mL,1.4912280701754386,6.239766081871345,0.10526315789473684,0.04678362573099415,0.011695906432748537,0.008771929824561403,0.09941520467836257,0.023391812865497075,0.3684210526315789,0.15789473684210525,0.00760233918128655,3.2280701754385963,2.263157894736842,0.14619883040935672,0.9649122807017544,,,,0.0935672514619883,0.6374269005847953,,,0.1286549707602339,0.0011111111111111111,,,,,,,,,,,,,,Mixed Dishes
844,Stir fry with tofu,250 mL,1.0701754385964912,4.485380116959064,0.08187134502923976,0.05847953216374269,0.017543859649122806,0.008187134502923975,0.05847953216374269,0.006432748538011696,,0.8304093567251462,0.010526315789473684,2.8830409356725144,1.9064327485380117,0.21052631578947367,0.8245614035087719,,,,0.1286549707602339,0.42105263157894735,,,0.11695906432748537,0.00011695906432748539,,,,,,,,,,,,,,Mixed Dishes
845,Sushi with fish,4,1.5769230769230769,6.576923076923077,0.04807692307692308,0.33653846153846156,0.0673076923076923,0.007692307692307693,,0.0009615384615384616,0.028846153846153848,0.19230769230769232,0.004807692307692308,6.403846153846154,1.3653846153846154,0.20192307692307693,0.6346153846153846,,,,0.14423076923076922,0.5,,,0.019230769230769232,0.0010576923076923077,,,,,,,,,,,,,,Mixed Dishes
846,"Sushi with vegetables, no fish",4,1.1730769230769231,4.903846153846154,0.019230769230769232,0.25961538461538464,0.04807692307692308,0.004807692307692308,,0.0009615384615384616,0.0,0.125,0.0019230769230769232,0.9615384615384616,0.5769230769230769,0.125,0.36538461538461536,,,,0.0673076923076923,0.15384615384615385,,,0.019230769230769232,,,,,,,,,,,,,,,Mixed Dishes
847,Sweet and sour meatballs,6,1.8294573643410852,9.0,0.10077519379844961,0.12790697674418605,0.07364341085271318,0.0027131782945736434,0.10077519379844961,0.04108527131782946,0.3682170542635659,0.29457364341085274,0.012790697674418604,3.608527131782946,1.5852713178294573,0.1434108527131783,0.9418604651162791,,,,0.13178294573643412,0.12790697674418605,,,0.003875968992248062,0.010077519379844961,,,,,,,,,,,,,,Mixed Dishes
848,"Tourtiere, homemade (20 cm diam)",1/6,2.7168141592920354,11.353982300884956,0.13274336283185842,0.20353982300884957,0.008849557522123894,0.010619469026548672,0.1504424778761062,0.056637168141592927,0.415929203539823,0.24778761061946902,0.016814159292035398,3.1150442477876106,2.415929203539823,0.19469026548672566,1.3893805309734513,,,,0.5221238938053098,0.008849557522123894,,,0.008849557522123894,0.002654867256637168,,,,,,,,,,,,,,Mixed Dishes
849,"Beef or chicken, broth/bouillon",250 mL,0.07086614173228346,0.29133858267716534,0.011811023622047244,,0.0,0.0,0.003937007874015748,0.0011811023622047244,0.0,0.05905511811023622,0.0015748031496062994,3.2559055118110236,0.5393700787401575,0.01968503937007874,0.12992125984251968,,,,0.01968503937007874,0.0,,,0.0,0.0007086614173228346,,,,,,,,,,,,,,Soups
850,"Beef, chunky",250 mL,0.7086614173228346,2.9645669291338583,0.047244094488188976,0.08267716535433071,0.007874015748031496,0.005905511811023622,0.01968503937007874,0.01062992125984252,0.05905511811023622,0.12992125984251968,0.00984251968503937,3.6023622047244093,1.3976377952755905,0.01968503937007874,0.5,,,,0.05905511811023622,0.5393700787401575,,,0.027559055118110236,0.0025984251968503938,,,,,,,,,,,,,,Soups
851,"Chicken noodle, chunky",250 mL,0.7283464566929134,3.043307086614173,0.051181102362204724,0.07086614173228346,0.007874015748031496,0.016141732283464567,0.023622047244094488,0.005905511811023622,0.07874015748031496,0.0984251968503937,0.005905511811023622,3.5354330708661417,0.44881889763779526,0.03937007874015748,0.2992125984251969,,,,0.2559055118110236,0.2795275590551181,,,0.0,0.0012992125984251969,,,,,,,,,,,,,,Soups
852,"Chicken noodle, low fat, reduced salt",250 mL,0.4085603112840467,1.727626459143969,0.03501945525291829,0.05058365758754864,0.0038910505836575876,0.008171206225680934,0.007782101167315175,0.0038910505836575876,0.05058365758754864,0.08171206225680934,0.0,1.9494163424124513,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Soups
853,"Chicken vegetable, chunky",250 mL,0.6889763779527559,2.8858267716535435,0.051181102362204724,0.07874015748031496,,0.003543307086614173,0.01968503937007874,0.005905511811023622,0.07086614173228346,0.11023622047244094,0.005905511811023622,4.440944881889764,1.5275590551181102,0.03937007874015748,0.4409448818897638,,,,0.051181102362204724,1.2480314960629921,,,0.023622047244094488,0.000984251968503937,,,,,,,,,,,,,,Soups
854,"Clam chowder, Manhattan",250 mL,0.5590551181102362,2.3346456692913384,0.031496062992125984,0.07874015748031496,0.015748031496062992,0.011811023622047244,0.015748031496062992,0.008661417322834646,0.05905511811023622,0.2795275590551181,0.011023622047244094,4.161417322834645,1.5984251968503937,0.07874015748031496,0.35039370078740156,,,,0.03937007874015748,0.7007874015748031,,,0.051181102362204724,0.032952755905511805,,,,,,,,,,,,,,Soups
855,"Minestrone, chunky",250 mL,0.5275590551181102,2.216535433070866,0.01968503937007874,0.08661417322834646,0.023622047244094488,0.024015748031496063,0.011811023622047244,0.006299212598425198,0.01968503937007874,0.24803149606299213,0.007480314960629921,3.594488188976378,2.547244094488189,0.05905511811023622,0.46062992125984253,,,,0.28346456692913385,0.889763779527559,,,0.01968503937007874,0.0,,,,,,,,,,,,,,Soups
856,"Split pea with ham, chunky",250 mL,0.7677165354330708,3.216535433070866,0.047244094488188976,0.11023622047244094,0.01968503937007874,0.016141732283464567,0.015748031496062992,0.0066929133858267716,0.031496062992125984,0.14173228346456693,0.00905511811023622,4.011811023622047,1.2677165354330708,0.16141732283464566,0.7401574803149606,,,,0.01968503937007874,1.0196850393700787,,,0.027559055118110236,0.000984251968503937,,,,,,,,,,,,,,Soups
857,"Vegetable, chunky",250 mL,0.5078740157480315,2.125984251968504,0.015748031496062992,0.07874015748031496,0.015748031496062992,0.005118110236220472,0.015748031496062992,0.002362204724409449,0.0,0.2283464566929134,0.0066929133858267716,4.2047244094488185,1.6456692913385826,0.031496062992125984,0.2992125984251969,,,,0.07086614173228346,1.2086614173228347,,,0.023622047244094488,0.0,,,,,,,,,,,,,,Soups
858,Beef noodle,250 mL,0.34108527131782945,1.4186046511627908,0.01937984496124031,0.03488372093023256,0.007751937984496124,0.0031007751937984496,0.011627906976744186,0.004651162790697674,0.01937984496124031,0.05813953488372093,0.004651162790697674,3.895348837209302,0.4108527131782946,0.01937984496124031,0.18992248062015504,,,,0.12015503875968993,0.031007751937984496,,,,0.000813953488372093,,,,,,,,,,,,,,Soups
859,Chicken broth,250 mL,0.16141732283464566,0.6692913385826772,0.01968503937007874,0.003937007874015748,0.003937007874015748,0.0,0.003937007874015748,0.0015748031496062994,0.0,0.03937007874015748,0.001968503937007874,3.173228346456693,0.8582677165354331,0.011811023622047244,0.2992125984251969,,,,0.01968503937007874,0.0,,,0.0,0.000984251968503937,,,,,,,,,,,,,,Soups
860,Chicken noodle,250 mL,0.30980392156862746,1.2980392156862746,0.01568627450980392,0.0392156862745098,,0.0031372549019607846,0.011764705882352941,0.002745098039215686,0.03137254901960784,0.07058823529411765,0.0031372549019607846,4.584313725490196,0.23137254901960785,0.0196078431372549,0.14901960784313725,,,,0.1450980392156863,0.14901960784313725,,,,0.000588235294117647,,,,,,,,,,,,,,Soups
861,Cream of mushroom,250 mL,0.5310077519379846,2.2170542635658914,0.007751937984496124,0.03875968992248062,0.007751937984496124,0.001937984496124031,0.03488372093023256,0.010077519379844961,0.011627906976744186,0.18992248062015504,0.001937984496124031,3.608527131782946,0.4108527131782946,0.01937984496124031,0.20155038759689922,,,,0.01937984496124031,0.05813953488372093,,,0.003875968992248062,0.0001937984496124031,,,,,,,,,,,,,,Soups
862,Tomato,250 mL,0.3488372093023256,1.4573643410852712,0.007751937984496124,0.06976744186046512,0.03488372093023256,0.004651162790697674,0.007751937984496124,0.0015503875968992248,0.0,0.050387596899224806,0.007364341085271318,2.8488372093023258,1.0775193798449612,0.031007751937984496,0.13953488372093023,,,,0.05813953488372093,0.10077519379844961,,,0.011627906976744186,0.0,,,,,,,,,,,,,,Soups
863,"Tomato, reduced salt",250 mL,0.3488372093023256,1.4573643410852712,0.007751937984496124,0.07364341085271318,0.031007751937984496,0.001937984496124031,0.007751937984496124,0.0015503875968992248,0.0,0.050387596899224806,0.007364341085271318,0.20155038759689922,1.0775193798449612,0.031007751937984496,0.13953488372093023,,,,0.06976744186046512,0.17054263565891473,,,0.2713178294573643,0.0,,,,,,,,,,,,,,Soups
864,Vegetables with beef,250 mL,0.32170542635658916,1.3372093023255813,0.023255813953488372,0.04263565891472868,0.003875968992248062,0.0027131782945736434,0.007751937984496124,0.0034883720930232558,0.01937984496124031,0.06976744186046512,0.004651162790697674,3.2364341085271318,0.7093023255813954,0.01937984496124031,0.17054263565891473,,,,0.03875968992248062,0.39147286821705424,,,0.003875968992248062,0.0013178294573643412,,,,,,,,,,,,,,Soups
865,Vegetarian vegetable,250 mL,0.2980392156862745,1.2470588235294118,0.00784313725490196,0.050980392156862744,0.01568627450980392,0.00196078431372549,0.00784313725490196,0.001176470588235294,0.0,0.09019607843137255,0.004313725490196079,3.403921568627451,0.8705882352941177,0.03137254901960784,0.1411764705882353,,,,0.0392156862745098,0.47843137254901963,,,0.00784313725490196,0.0,,,,,,,,,,,,,,Soups
866,"Clam chowder, New England",250 mL,0.5992366412213741,2.5114503816793894,0.03816793893129771,0.06870229007633588,,0.0061068702290076335,0.019083969465648856,0.007251908396946565,0.061068702290076333,0.7709923664122137,0.0061068702290076335,4.011450381679389,1.2213740458015268,0.09923664122137404,0.6412213740458015,,,,0.03816793893129771,0.27099236641221375,,,0.015267175572519083,0.04141221374045801,,,,,,,,,,,,,,Soups
867,Cream of chicken,250 mL,0.7213740458015268,3.0114503816793894,0.030534351145038167,0.061068702290076333,0.026717557251908396,0.0011450381679389313,0.03816793893129771,0.014122137404580154,0.08015267175572519,0.7404580152671756,0.0026717557251908397,4.229007633587786,1.118320610687023,0.08015267175572519,0.6183206106870229,,,,,0.3282442748091603,,,0.003816793893129771,0.002213740458015267,,,,,,,,,,,,,,Soups
868,Cream of mushroom,250 mL,0.7709923664122137,3.2213740458015265,0.022900763358778626,0.061068702290076333,,0.0019083969465648854,0.04961832061068702,0.01603053435114504,0.03816793893129771,0.7290076335877863,0.0022900763358778627,3.7519083969465647,1.099236641221374,0.0916030534351145,0.6412213740458015,,,,0.03816793893129771,0.3282442748091603,,,0.007633587786259542,0.001984732824427481,,,,,,,,,,,,,,Soups
869,"Cream of mushroom, reduced salt",250 mL,0.5114503816793893,2.1297709923664123,0.022900763358778626,0.0648854961832061,0.03435114503816794,0.0030534351145038168,0.019083969465648856,0.00916030534351145,0.05343511450381679,0.6412213740458015,0.0026717557251908397,2.145038167938931,2.6374045801526718,0.08015267175572519,0.7213740458015268,,,,0.08015267175572519,0.2824427480916031,,,,0.0019083969465648854,,,,,,,,,,,,,,Soups
